CLIN,PartNO,Description,Price
15S-47,C202AE,"Provides control, monitoring, and failure recovery for up to 25 Elemental Live systems through a single view, simplifying operation and management. Platform: 2 GigE ports, dual power supplies.","$14,450.28"
15S-569,C202AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$3,140.41"
15S-570,C202AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$3,925.51"
15S-571,C202AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$2,355.31"
15S-48,C203AE,"Provides control, monitoring, and failure recovery for up to 25 Elemental Server systems through a single view, simplifying operation and management. Platform: 2 GigE ports, dual power supplies.","$14,450.28"
15S-572,C203AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$3,140.41"
15S-573,C203AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$3,925.51"
15S-574,C203AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$2,355.31"
15S-63,DAO202AE,"Origin Server, with Just-In-Time Packaging capabilities (HLS, MSS, HDS support) enabling live-to-file applications, streams filtering and modifications. HW: 1RU, 2x 1 GigE, 4x 10 GigE, 12 CPU Cores, 128GB RAM, 2x 1TB Hard Drives, Redundant Power Supply","$61,531.39"
15S-575,DAO202AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$13,372.31"
15S-576,DAO202AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$16,715.39"
15S-577,DAO202AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$10,029.23"
15S-64,DAO202SE,"Origin Server, with Just-In-Time Packaging capabilities (HLS, MSS, HDS support) enabling live-to-file applications, streams filtering and modifications.HW: compatible with hardware configurations defined by Elemental.","$56,461.12"
15S-578,DAO202SE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$12,270.41"
15S-579,DAO202SE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$15,338.02"
15S-580,DAO202SE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$9,202.81"
15S-65,DBO202AE,"Origin Server, with Just-In-Time Packaging capabilities (HLS, MSS, HDS support) enabling live-to-file applications, streams filtering and modifications.HW: 1RU, 6x 1 GigE, 12 CPU Cores, 64GB RAM, 2x 1TB Hard Drives, Redundant Power Supply.","$32,558.40"
